iter	Passed	Remaining
0	25	24040
1	46	22135
2	74	23436
3	100	23922
4	129	24581
5	156	24637
6	185	25020
7	210	24857
8	235	24678
9	261	24691
10	288	24669
11	313	24604
12	340	24648
13	367	24627
14	392	24569
15	420	24625
16	450	24807
17	479	24890
18	509	25033
19	538	25108
20	564	25039
21	596	25242
22	631	25553
23	661	25622
24	693	25728
25	723	25785
26	754	25860
27	790	26113
28	825	26288
29	857	26378
30	885	26339
31	920	26501
32	955	26629
33	992	26820
34	1034	27139
35	1073	27351
36	1105	27375
37	1138	27412
38	1168	27381
39	1200	27401
40	1233	27427
41	1262	27379
42	1291	27339
43	1322	27331
44	1354	27340
45	1380	27220
46	1410	27188
47	1432	27003
48	1462	26977
49	1491	26933
50	1508	26683
51	1527	26466
52	1551	26342
53	1580	26318
54	1610	26302
55	1641	26294
56	1667	26209
57	1699	26225
58	1730	26222
59	1762	26227
60	1790	26184
61	1816	26110
62	1839	25989
63	1861	25858
64	1889	25806
65	1918	25783
66	1940	25664
67	1967	25606
68	1995	25562
69	2022	25516
70	2047	25432
71	2067	25302
72	2085	25141
73	2114	25120
74	2142	25076
75	2172	25064
76	2199	25026
77	2227	24983
78	2254	24940
79	2286	24955
80	2321	24987
81	2340	24861
82	2367	24812
83	2388	24704
84	2406	24577
85	2430	24498
86	2457	24466
87	2483	24412
88	2513	24401
89	2540	24361
90	2559	24247
91	2589	24234
92	2618	24211
93	2644	24167
94	2671	24131
95	2696	24069
96	2723	24034
97	2739	23904
98	2766	23862
99	2792	23816
100	2817	23763
101	2845	23737
102	2875	23733
103	2905	23716
104	2936	23717
105	2956	23620
106	2985	23606
107	3004	23509
108	3033	23487
109	3068	23514
110	3101	23529
111	3135	23544
112	3168	23556
113	3200	23556
114	3222	23481
115	3244	23411
116	3272	23379
117	3298	23342
118	3324	23298
119	3349	23249
120	3376	23215
121	3404	23186
122	3421	23089
123	3449	23058
124	3474	23016
125	3502	22991
126	3531	22969
127	3559	22942
128	3578	22859
129	3602	22803
130	3629	22775
131	3647	22688
132	3665	22597
133	3690	22556
134	3705	22452
135	3732	22424
136	3757	22381
137	3774	22290
138	3802	22268
139	3820	22188
140	3849	22167
141	3874	22128
142	3901	22102
143	3924	22047
144	3942	21970
145	3971	21951
146	3994	21899
147	4021	21874
148	4049	21849
149	4068	21778
150	4084	21692
151	4111	21664
152	4132	21607
153	4149	21527
154	4176	21501
155	4203	21474
156	4232	21459
157	4251	21390
158	4279	21371
159	4296	21293
160	4315	21229
161	4343	21206
162	4370	21183
163	4398	21159
164	4415	21086
165	4442	21060
166	4468	21032
167	4494	20999
168	4510	20926
169	4540	20910
170	4566	20882
171	4591	20847
172	4610	20788
